Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;9.3;8.1;16.6;16.2;22.3;27.2;32.1;32.6;24.8;18.5;13.4;7.7;19.1
1995;7.4;9.8;12.5;16.9;21.5;24;31.1;28.4;22.1;20.8;11.5;7.4;17.8
1996;7.4;7.1;10.8;17.8;22.4;27.3;26.9;27.8;21.8;17.6;12.7;8.7;17.4
1997;9;10.5;17.1;17.7;23.5;25.1;29;29.4;27.5;18.4;12.4;8.3;19
1998;7.3;14;14.4;16.1;23.3;27.8;31.5;32.3;24.5;18;11.3;7.4;19
1999;8.4;8.7;13.4;18;23;27.3;30.7;29.3;27.1;18.8;11.3;7;18.6
2000;7.1;10.6;13.7;19.5;25.7;29.5;29.2;32.4;25.9;18.3;13;9.4;19.5
2001;7.6;11.2;13.9;17.1;26.4;27.5;29.7;31.5;22.1;21.1;12.3;7;19
2002;7.3;9.5;16.5;17.4;22.9;29;29.8;29.1;24;18.8;14;8.5;18.9
2003;7.4;8.5;15.6;16.9;27;31.8;31.5;34.4;24.9;15.8;13.3;8.9;19.7
2004;6;7.3;11.4;17;20.8;26.6;29.1;29.4;25;18.9;13.7;10.4;18
2005;7;7.3;13.2;16.9;23.8;27.8;28.7;25.9;24.5;17.3;10.6;6.9;17.5
2006;6.2;7.6;11;18;22.2;27.9;32.1;26;25.8;20.4;13.5;9.9;18.4
2007;9.4;11.5;14.7;22.6;24.4;26.7;30.6;28.1;23.4;17.9;12.2;8.3;19.2
2008;8.3;9.4;12.2;16.7;23.1;27.1;29.6;30.4;23.7;19.6;12.3;8;18.4
2009;6.6;9.1;13.5;19.1;25.8;27.1;29.5;31.3;26.1;18.9;12.2;7;18.8
2010;5.3;8.6;12.1;19.3;21.9;27.1;30.8;28;23.1;16.9;11.8;5.7;17.5
2011;5.8;10.1;13.5;21.8;25.2;26.4;27.8;32;28.4;18.9;13.4;9;19.4
2012;8.1;7;18.3;16.8;23.3;28.4;31.3;32.4;25.1;19.1;13.7;6.9;19.2
2013;7.3;7.8;10.9;17.6;20.6;27.2;31.6;30.4;24.7;18.2;13.3;10.2;18.3
2014;8.8;11;16.3;19.5;22.4;27.1;27.3;26.9;24.5;20.9;14.9;9.7;19.1
2015;9.6;10.1;14.5;19.3;23.4;28.3;32.5;31;24.3;18.4;13.2;9.3;19.5
2016;7.7;10.6;13.5;19.4;22;27.1;31;28.8;27.1;18.1;12.4;10.1;19
2017;5.9;10.3;17.2;18.8;23.5;29.3;30.2;32;22.5;19.5;12.1;7.4;19.1
2018;9.7;6.8;10.6;21.1;24.4;28.6;30;30.5;26.2;20.8;13.7;8.6;19.2
2019;7.2;12.6;15.6;17.3;18.7;30.8;30.4;30.1;24.5;19.8;13.1;10.4;19.2
2020;9.8;12.7;13.2;20.6;23;26;29.5;29.5;25.8;17.6;13.7;8.4;19.2
2021;7;11.5;14.6;16.6;20.9;29.9;29.9;29.1;26;18.9;13;8.3;18.8
2022;8.6;11.9;13.8;16.7;25.2;30.9;33.1;30.8;24.1;22.4;14.7;8.9;20.1
