Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;4.9;4;11.1;11.4;17.2;21;25;24.9;18.6;13;9.4;4.1;13.7
1995;2.5;5.4;7.5;11.5;16.3;18.8;24.9;21.7;16.6;14.7;7.6;4.4;12.7
1996;4.4;3.2;6.8;13.1;17.1;21.7;21.6;21.4;15.9;12.9;8.5;5.2;12.6
1997;4.4;5.4;10.6;11.4;17.7;19.9;22;22.5;19.9;12.9;8.2;4.8;13.3
1998;3.7;7.4;8.3;11.3;17.4;21.6;24.1;24.6;18.2;12.7;6.1;2.3;13.1
1999;3.3;3.2;8.6;12.7;18.2;21.1;23.5;22.7;20.1;13.7;6.5;2.5;13
2000;1.2;5;8.3;14.2;19.1;22.4;21.7;24.3;19.3;14.4;8.9;5.5;13.7
2001;4.4;5.9;9.8;11.5;19.7;20.9;23.4;24.8;16.3;15.8;6.8;0.7;13.3
2002;1.7;5.4;10.9;12.4;17.5;22.8;23;22.3;17.7;13.7;10.3;5.5;13.6
2003;3;2.8;9.5;12;20.6;25.5;25.3;27.4;18.7;11.6;9.6;5.1;14.3
2004;2.4;3.4;7.4;12.5;15.7;21.3;23.4;23.5;19;15.6;9;5.9;13.3
2005;2;2.5;7.7;12.1;18.4;22.5;23.3;20.9;19.5;13.6;7;2.7;12.7
2006;1.7;3.7;7;13.2;17.3;22.4;26.3;20.4;20.4;15.5;9.3;5.6;13.6
2007;5.5;7.1;10.2;16.7;19;21.8;24.2;22.4;17.8;13.3;7.5;3.5;14.1
2008;4.9;4.9;8.1;12.1;18;21.8;23.6;24.1;18.2;14.8;8.5;4.2;13.6
2009;3.2;5;8.9;14.3;20.2;21.4;24.1;25.2;20.8;14.1;9.5;3.5;14.2
2010;2;4.8;7.9;13.9;17.3;22;25.3;22.4;17.9;12.4;8.7;2.6;13.1
2011;2.5;5.6;9;16;19.6;21.5;22.4;25.7;22.4;13.5;8.2;5;14.3
2012;2.9;2.1;12.2;12.4;17.9;23.2;25.4;25.8;19.9;14.5;10.3;3.2;14.2
2013;4.1;4;7.4;13.4;15.7;21.6;25.6;24.5;19.5;14.9;9.7;5.5;13.8
2014;6.1;7.9;11.1;14.6;17.2;21.9;22;21.4;19;16.2;11.8;6.3;14.6
2015;4.9;6.1;9.8;13.8;18.6;22.9;26.8;25;19.3;14.1;8.5;4.5;14.5
2016;3.3;7;9.3;14.2;16.9;21.6;25.5;23.2;21.2;13.6;8.9;4.4;14.1
2017;1.1;6.7;11.8;14;18.4;23.9;24.6;25.7;17.7;14.3;8.3;3.3;14.2
2018;5.9;3.9;7.2;16.1;19.4;23;24.6;25.1;20.6;15.9;10.5;3.8;14.7
2019;2.9;7.2;10.2;13;14.7;25.2;24.7;24.8;19.5;15.6;10;6.2;14.5
2020;4.7;7.9;9.1;14.6;17.9;21.1;24.1;23.9;20.3;13.2;9.1;5.4;14.3
2021;3.3;7.4;9.2;11.7;15.9;24.2;24.4;23.4;20.6;13.7;9.3;4.3;14
2022;3.8;7;8.7;12;19.8;24.9;27.2;25.2;19;17.3;10.2;5.7;15.1
