Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;1;0.2;6;6.6;12.1;15.3;18.4;17.6;13.9;8.7;6;1.2;8.9
1995;-1.7;1;2.5;6.1;11.3;13.9;18.8;15.9;11.6;9.6;3.8;1.9;7.9
1996;1.7;-0.4;2.7;8.3;11.8;15.8;16.1;15.7;10.7;9;5.2;2.1;8.2
1997;0.9;0.4;4.2;4.7;12.2;15.1;15.5;16.7;13.2;7.8;4.6;1.6;8.1
1998;0.5;1.6;2.4;7;11.8;15.9;17.3;17.4;12.9;8.4;2;-2;7.9
1999;-0.9;-1.9;4;7.5;13.7;15.3;17.3;17.3;14.3;9.7;2.6;-1.2;8.1
2000;-3.1;-0.4;2.9;9.1;13.6;15.7;15.2;16.8;13.5;11;5.6;2;8.5
2001;1.8;1.2;6.3;6.3;13.9;14.1;17.3;17.9;11.1;11.1;2.5;-3.8;8.3
2002;-2.8;1.7;5.6;7.6;12.6;16.8;17.5;16.6;13.1;9.3;6.9;2.8;9
2003;-0.4;-2.4;3.6;7.2;13.7;19;18.5;20.4;13;7.7;6.8;1.6;9.1
2004;-0.8;-0.2;3.7;8.3;10.7;15.8;17.1;17.1;13.6;12.9;5;2.4;8.8
2005;-2.1;-1.9;2.5;7.5;13;16.6;17.8;15.6;15;10.2;3.8;-0.8;8.1
2006;-1.8;0.3;3;8.4;12.2;16.1;19.8;15.2;15.1;11;5.2;2.1;8.9
2007;2.1;3;5.7;10.6;13.4;16.6;17;16.8;12.5;8.7;3.4;-0.3;9.1
2008;1.8;0.8;3.9;7.8;13.1;16.8;17.6;17.6;13.5;10.2;5.1;1.2;9.1
2009;-0.1;1.1;3.9;9.7;14.2;15.8;18.3;19;15.8;9.5;7;-0.2;9.5
2010;-0.9;1.5;3.8;8.4;12.5;16.5;19.3;17;13;8.3;5.8;-0.3;8.7
2011;-0.3;2;4.7;9.9;13.3;16.5;16.9;19.1;16.9;8.7;4;1.4;9.4
2012;-1.6;-2.4;5.5;8.1;12.3;17.7;19.2;18.8;14.9;10.7;7.3;-0.2;9.2
2013;1;0.4;4.1;9.4;11.1;15.9;19.3;18.2;14.6;12;6.4;1.8;9.5
2014;3.5;4.9;6;9.4;11.9;16.5;17.1;16.3;14.5;12.3;9.2;3.1;10.4
2015;1;2.4;5.1;8.1;13.9;17.4;20.7;19.2;14.6;10.6;4.5;0.1;9.8
2016;-0.3;3.7;5;9.3;11.9;16.3;19.5;17.4;15.9;9.7;5.7;-0.1;9.5
2017;-3.1;3.3;6.4;8.9;13.4;18.1;18.4;19.1;13.3;9.5;4.6;-0.1;9.3
2018;2.7;1;3.6;10.7;14.6;17.1;19;19.5;15.6;11.6;7.7;-0.2;10.2
2019;-1;2.2;4.7;8.8;10.9;19.1;19.1;19.5;14.6;11.9;6.8;2.6;9.9
2020;0.6;3.3;4.9;8.3;12.8;16;18.3;18.5;15.5;9.2;5.2;2.7;9.6
2021;0;3.7;3.3;6.5;11.1;17.7;18.7;17.6;15.3;9.1;6.1;0.9;9.2
2022;-0.5;1.8;3.3;6.7;14.4;18.4;20.2;19.2;14.6;12.7;6.2;2.9;10
