Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;
1994;7;28;31;30;31;30;31;31;30;27;0;0;
1995;0;0;4;0;3;19;22;31;30;31;30;31;
1996;31;14;0;0;7;30;31;31;17;0;0;0;
1997;0;0;0;0;0;0;2;4;0;0;0;0;
1998;0;0;0;0;8;6;16;22;7;3;4;10;
1999;0;0;0;0;1;30;16;11;0;0;0;0;
2000;0;0;0;0;16;30;17;15;6;0;0;0;
2001;0;0;0;0;1;22;26;8;7;0;0;1;
2002;1;0;0;0;0;25;21;0;0;0;0;19;
2003;15;0;0;0;0;0;2;0;0;0;0;0;
2004;0;0;0;0;0;0;0;0;0;0;0;0;
2005;0;0;3;0;0;0;0;0;29;31;30;31;
2006;31;28;17;0;0;30;17;1;10;0;0;0;
2007;0;0;0;0;0;5;30;8;3;0;0;0;
2008;0;0;0;0;0;0;0;10;0;0;0;13;
2009;0;0;0;2;5;0;0;2;0;0;0;0;
2010;0;0;0;0;0;27;12;0;0;0;0;0;
2011;0;0;0;0;0;0;6;3;0;11;0;0;
2012;0;0;0;0;0;0;6;0;4;31;30;31;
2013;27;1;1;0;0;30;17;30;0;0;0;0;
2014;0;1;0;0;17;0;0;0;3;0;0;0;
2015;0;0;0;0;0;0;0;4;0;0;0;0;
2016;0;0;0;0;0;6;31;17;0;0;0;0;
2017;0;0;0;0;0;29;31;31;20;0;0;0;
2018;0;0;0;0;0;9;30;4;6;30;30;15;
2019;0;0;0;0;25;30;17;7;10;31;30;12;
2020;0;0;0;0;14;30;14;29;10;0;0;0;
2021;0;0;0;0;0;8;20;9;0;0;0;0;
2022;0;0;0;0;0;0;9;2;0;0;0;0;
