Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;-10.7;>>;>>;>>;>>;>>;>>;>>;>>;-3.2;-5.2;-8.7;-7
1995;-14.3;-9.2;-12.8;-8.2;-3.9;-1.2;5.9;>>;>>;>>;>>;>>;-6.2
1996;>>;-14;-12.4;-6.6;-3.5;>>;>>;>>;-3.8;-4.2;-8.5;-10.3;-7.9
1997;-8.5;-9.3;-8.8;-10.3;-3.6;-0.5;0.3;2.6;2.7;-4.2;-7.6;-10.9;-4.8
1998;-10.3;-6.4;-11.5;-8;-3.1;0.3;3.7;5.3;-1.2;-3.8;-12.3;-9.1;-4.7
1999;-10.5;-15.3;-10.5;-7.7;-1.8;>>;2.4;3.6;0.9;-2.9;-9;-11.6;-5.7
2000;-12.4;-11.4;-10.4;-6.3;0.6;>>;-0.9;3.1;0.2;-2.7;-8.2;-8.9;-5.2
2001;-11.4;-12.2;-8.3;-8.9;-1.7;1.7;3.1;4.6;-4.5;0.2;-8;-14.6;-5
2002;-9.5;-9.1;-8.2;-7.5;-2.4;0.7;2.5;0.8;-3.5;-4.8;-8.2;-11.7;-5.1
2003;-13.2;-15.4;-9.4;-9.5;-2.5;3;2.1;4.2;-1.1;-6.4;-5.7;-10.3;-5.4
2004;-14.6;-12.6;-12;-9.5;-6.7;-2.5;-1.2;-0.5;-2.4;-4.4;-10.6;-10.7;-7.3
2005;-14.4;-18.1;-11.2;-9;-4.5;-1.7;-0.2;-1.9;-0.8;>>;>>;>>;-6.9
2006;>>;>>;-7.4;-6.9;-3.2;>>;5.5;-0.8;1.8;0;-5.8;-7.1;-2.7
2007;-8.7;-9.8;-10.2;-4.2;-3.1;0.4;2.4;1.7;-2.7;-3.8;-10;-11.4;-5
2008;-9.3;-9;-11.4;-8.3;-2.6;1.4;1.9;3.5;-2.1;-2.3;-8.7;-11.7;-4.9
2009;-11.6;-14.5;-11.4;-6.2;-0.8;-0.5;2.9;4.1;0.3;-4.4;-5.7;-12.3;-5
2010;-13.9;-13.2;-11.2;-7.2;-3.9;-3.8;2.2;1.9;-1.6;-3.8;-8.4;-14.1;-6.4
2011;-11.6;-10.4;-9;-5.2;-2.4;0.6;0.3;4.2;2.5;-2;-3.4;-10.7;-3.9
2012;-12.7;-15;-6.8;-7.4;-3;3.7;4;4.7;-0.1;>>;>>;>>;-3.6
2013;-13.8;-15.7;-10.4;-5.2;-4.3;>>;1.4;-0.1;0.1;-1.8;-8.3;-7.9;-6
2014;-9.4;-10;-7.4;-5.9;-3.9;0.4;1.7;1.1;0.1;-2.1;-4.6;-10.1;-4.2
2015;-11.7;-11.8;-9.8;-7.2;-1.7;0.9;6.1;3.9;-1.8;-3.6;-4.6;-3.9;-3.8
2016;-11.5;-10.3;-10.6;-6.2;-3.9;-0.3;>>;4.9;1.2;-5;-7.8;-6.2;-5.1
2017;-13.8;-8.8;-7.4;-7.4;-2.2;2.3;>>;>>;-3;-2.2;-8.6;-12.6;-6.4
2018;-10.1;-14.9;-10.5;-4;-1.7;1.7;8.4;3.8;2.1;-2.3;>>;-12.1;-3.6
2019;-15;-7.9;-8.9;-6.3;-7.6;>>;3.9;4.6;2.1;>>;>>;-9.6;-5
2020;-7.3;-9;-9.8;-4.8;-3.1;>>;2.2;5.1;-0.8;-6;-4.6;-10.6;-4.4
2021;-15.1;-8.5;-11.7;-10.4;-5.9;2.7;4.5;2;1.1;-3.4;-6.6;-9.6;-5.1
2022;-10.2;-10.4;-9.1;-7.1;-0.3;4.3;5.7;3.6;-1.5;0.6;-6.8;-8;-3.3
