Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;-13.6;>>;>>;>>;>>;>>;>>;>>;>>;-5.9;-7.3;-10.8;-9.4
1995;-17.3;-12.8;-16.4;-10.8;-6.8;-3.9;3.6;>>;>>;>>;>>;>>;-9.2
1996;>>;-17.3;-15.2;-9.6;-6.1;>>;>>;>>;-6.5;-7.2;-11.5;-13.2;-10.8
1997;-10.9;-12.6;-11.4;-13.7;-6.2;-2.5;-2.1;0.6;0.2;-6.7;-9.8;-13.4;-7.4
1998;-12.5;-8.9;-14.8;-11;-5.8;-2.4;1.6;3.4;-3.6;-6.9;-15.2;-13;-7.4
1999;-13.7;-18.9;-13.7;-11.6;-4.4;>>;0.4;1.4;-1.3;-5.3;-11.6;-15;-8.5
2000;-15.1;-14.4;-13.4;-9.1;-1.5;>>;-3.4;1;-1.9;-5.1;-11.3;-12;-7.8
2001;-14.3;-15;-10.8;-12.5;-4.7;-1;1.9;2.4;-7.1;-2.2;-10.7;-17.7;-7.6
2002;-11.9;-12.2;-10.7;-10.8;-5.2;-1.9;0.3;-1;-5.7;-7.2;-10.6;-14;-7.6
2003;-17;-18.4;-12.4;-12.5;-5.2;0.4;-0.7;2;-3.4;-9.2;-8.5;-13.6;-8.2
2004;-17.6;-15.3;-14.8;-12.6;-10.6;-5.3;-3.3;-2.5;-4.6;-6.4;-13.3;-13;-9.9
2005;-17;-20.1;-13.6;-11.9;-7.2;-4;-2.8;-4;-2.1;>>;>>;>>;-9.2
2006;>>;>>;-10;-9.7;-6.3;>>;3.1;-3.1;-0.3;-3;-8.8;-9.5;-5.3
2007;-11.3;-12.1;-13.1;-7;-5.5;-1.8;0.6;-0.3;-5;-6.5;-12.3;-13.8;-7.3
2008;-11.8;-11.2;-14.5;-11.1;-5.2;-0.6;-0.4;1.1;-4.4;-4.5;-11.3;-13.7;-7.3
2009;-14.4;-17.9;-14.5;-8.7;-2.9;-2.6;0.4;2;-1.4;-6.9;-8.1;-15.4;-7.5
2010;-16.7;-16.2;-14.1;-10.3;-6.5;-6.5;-0.2;-0.3;-3.8;-6.3;-11;-17.3;-9.1
2011;-14.1;-12.9;-11.8;-8.2;-5.1;-1.4;-2.1;1.9;0.4;-4.3;-5.2;-13.7;-6.4
2012;-15.4;-17.8;-9.5;-10.1;-5.6;1.4;1.9;2.3;-2.9;>>;>>;>>;-6.2
2013;-16.3;-19.1;-13.2;-7.9;-7.4;>>;-1.1;-2.1;-2;-3.9;-11.1;-10.2;-8.6
2014;-11.5;-12.5;-10.6;-8.4;-7.4;-2.1;-0.4;-0.8;-2;-4;-6.4;-12.8;-6.6
2015;-14.9;-14.7;-13;-10.2;-4.2;-1.3;3.9;2;-4.2;-5.9;-6.9;-6;-6.3
2016;-13.7;-12.9;-13.4;-8.8;-6.8;-2.4;>>;2.2;-0.8;-7.4;-10.6;-8.7;-7.6
2017;-16.6;-11.4;-9.8;-10.2;-5;-0.3;>>;>>;-5.1;-5;-11.7;-15.5;-9.1
2018;-12.8;-18.6;-13.6;-6.8;-3.8;-0.5;6;1.5;0.3;-3.8;>>;-14.8;-6.1
2019;-17.6;-10.7;-12.3;-9.4;-10.8;>>;1.7;2.8;0;>>;>>;-12.4;-7.6
2020;-10.6;-12.2;-13.3;-7.5;-5.4;>>;-0.6;2.1;-2.9;-8.7;-7.1;-12.9;-7.2
2021;-17.8;-11.3;-14.3;-13.3;-9.1;0.5;2.6;-0.2;-0.8;-6;-9.1;-12;-7.6
2022;-13.1;-13.8;-11.7;-10.4;-2.6;1.6;3.3;1.4;-3.7;-1.4;-9;-10.8;-5.9
