Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2000;>>;>>;9.6;15.2;19.9;23.6;22.8;25.3;20.4;16;11.5;7.6;17.2
2001;6.1;7.7;10.7;13;20.4;21.9;24.5;25.9;18;17.6;8.6;3.3;14.8
2002;3.2;6.9;10.9;13.3;18.4;23.6;24.3;23.5;19.1;15.5;12.4;6.9;14.8
2003;5.2;4.2;9.7;12.4;20.2;26;25.9;27.3;19.4;13;10.8;6.3;15
2004;3.6;4.3;8.3;13.4;16.4;21.6;24.2;24.4;20.1;16.3;10.2;6.9;14.1
2005;3.4;3.8;7.1;12.6;18.8;22.9;24.6;22.2;20.6;14.9;8.9;4.6;13.7
2006;3.4;5.2;7.9;13.7;17.9;22.8;26.9;21.8;21.4;17.2;11;7.5;14.7
2007;6.9;8.1;11.6;17.1;19.9;23;25;23.5;18.9;14.5;9;5.1;15.2
2008;6.1;6;8.6;13.1;19.1;22.9;24.1;24.3;18.6;15.5;9.8;5.4;14.5
2009;3.9;6.2;9.5;14.8;20.3;21.3;24.4;25.5;21.1;15;10.6;5.1;14.8
2010;3.2;5.6;8.2;14.2;18.1;21.8;25.7;23.4;18.8;13.6;10.2;3.6;13.9
2011;3.8;6;9.5;15.7;19.7;22.6;23.5;25.6;23.4;14.8;9.8;6.6;15.1
2012;3.9;2.9;12.1;13.1;18.3;23.7;26;26.1;21;15.8;11.4;4.3;14.9
2013;4.8;4.9;7.8;13.8;17.1;22.4;26.3;24.9;20.6;15.6;11;6.6;14.6
2014;7.7;8.9;12.2;15.9;18.3;23.1;23.6;23.2;20.1;17.5;13;7.6;15.9
2015;6.3;7.1;10.6;14.1;19.1;23.7;27.6;25.7;21;15.3;10.2;5.9;15.6
2016;5;8.3;10.4;14.6;17.7;22.9;25.9;24.5;22.6;14.8;10.5;5.5;15.2
2017;2.7;7.5;12.4;14.7;18.9;24.4;25.4;26.1;18.5;15.2;9.6;5.3;15.1
2018;7.1;4.7;7.5;16.6;20.9;24.4;26.3;26.6;21.9;16.9;11.9;5;15.8
2019;4.1;7;10.3;13.9;15.6;25.5;25.8;26.2;21.1;17;11.3;7.3;15.4
2020;5.7;8.7;10;14.6;18.5;21.6;24.6;25.4;21.3;14.4;10.1;6.8;15.1
2021;4.3;7.7;9.4;12;16.3;24.3;25;23.8;20.9;14.6;10.3;5.2;14.5
2022;4.8;7.5;8.9;12.6;20.1;25.2;27.6;26.3;20.7;18.6;11.8;7.3;16
