Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2000;>>;>>;12.3;18;22.7;26.5;26;28.4;23.6;18.6;13.9;9.6;20
2001;7.9;10.6;13.2;15.7;23.3;24.6;27.4;29.2;21.2;20.5;11.7;6.3;17.6
2002;6.6;8.8;14.3;15.9;21;26.3;27.4;26.5;21.9;18.4;14.5;8.6;17.5
2003;8;7.3;12.6;15.3;23.1;28.7;28.8;30.6;22.7;16.1;13.3;9;18
2004;5.7;6.7;10.9;16;18.8;24.2;27;27.4;23.3;18.5;12.8;9.6;16.7
2005;6.1;6.6;10.2;14.9;21.5;25.4;27.4;25;23.4;17.1;11.1;7.1;16.3
2006;6;7.8;10.3;16.3;20.5;25.5;30.1;24.8;24.3;20.4;13.5;10.2;17.5
2007;9;10.8;14.6;19.9;23;25.8;28.3;26.4;22;17.4;11.7;7.8;18.1
2008;8.3;8.5;11.4;16;21.8;25.8;27.2;27.4;21.6;18.8;12.1;7.6;17.2
2009;6.1;8.7;12.2;18;23.5;24.4;27.1;28.4;24.4;18.1;12.5;7.4;17.6
2010;5.2;8.1;10.9;17;20.8;24.3;28.5;26.7;21.8;16.6;12.1;5.7;16.5
2011;5.6;9.3;12.4;18.8;22.7;25.4;26.5;28.7;26.6;18.1;13.1;9.1;18
2012;7.1;6;15.5;15.9;21.4;26.8;29.1;29.2;24.2;18.8;14.1;6.7;17.9
2013;6.9;7.6;10.1;16.5;20.3;25.4;29.5;28.4;23.6;17.9;13.5;9.4;17.4
2014;9.6;11.2;15.5;18.7;21.4;26.2;26.8;26.6;23;20.5;15.4;9.9;18.7
2015;9;9.8;13.3;17.3;21.8;26.6;30.6;29.3;24.1;18.2;12.9;8.6;18.5
2016;7.7;10.7;13.1;17.3;20.5;25.9;28.9;27.7;25.9;17.6;12.9;8.9;18.1
2017;5.7;9.8;15.7;17.5;21.7;27.2;28.3;29.5;21.6;18.2;12.2;8.2;18
2018;9.6;6.8;9.9;19.9;24.3;27.6;29.6;30.3;25.3;20.3;14;8;18.8
2019;7.1;10.6;13.9;16.7;17.9;28.7;28.9;29.5;24.3;20;13.8;9.8;18.4
2020;9.1;12.1;12.6;18.1;21.3;24.5;27.5;28.7;24.6;17.2;13.2;9.3;18.2
2021;6.7;10.5;12.5;14.5;19.4;27.1;28.2;27.3;24;17.9;12.9;7.6;17.4
2022;7.8;10.6;11.9;15.6;23;28.2;30.7;29.7;23.8;21.8;14.5;9;18.9
