Anno;GEN;FEB;MAR;APR;MAG;GIU;LUG;AGO;SET;OTT;NOV;DIC;MedioAnnuale
1994;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1995;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1996;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1997;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1998;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
1999;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>;>>
2000;>>;>>;6.9;12.6;17;20.2;19.1;21.7;16.9;13.8;9.4;5.9;14.4
2001;4.5;5;8.4;10.2;17.2;18.5;21;22.1;14.5;15.1;5.9;0.7;11.9
2002;0.5;5.1;8.1;10.8;15.8;20.3;21;20.1;16;12.7;10.4;5.3;12.2
2003;2.8;1.1;6.7;9.7;16.9;22.9;22.4;23.3;15.7;10;8.7;4.1;12
2004;1.7;2.3;5.8;10.8;13.6;18.4;20.8;20.6;16.5;14.3;7.7;4.8;11.4
2005;1;1.2;4.4;10.1;15.9;19.9;21.2;19.1;17.3;12.8;7;2.4;11
2006;1.1;2.6;5.5;11.2;14.9;19.7;23.3;18.2;18;13.9;8.7;5.2;11.9
2007;5;5.8;8.7;13.8;16.7;19.8;21;20.2;15.5;11.4;6.6;2.8;12.3
2008;4.2;3.7;6.2;10.4;16.1;19.7;20.6;20.5;15.4;12.4;7.7;3.5;11.7
2009;2;3.7;6.7;11.9;17.2;18.1;21.1;22;17.6;12.1;9.1;3.1;12
2010;1.4;3.5;5.8;11.2;15.3;19.1;22.2;20;15.6;10.8;8.6;1.6;11.3
2011;2.3;3.3;6.7;12.6;16.2;19.7;19.9;22;19.8;11.4;7.1;4.4;12.1
2012;1.2;0;8.9;10.8;15;20.4;22.7;22.3;17.6;13;9;2.2;11.9
2013;2.9;2.4;5.7;11.3;14.1;19.2;22.6;20.9;17.1;13.3;8.8;4.3;11.9
2014;6.1;6.8;9.1;13.1;15.1;19.5;20;19.7;17.2;14.8;11.1;5.7;13.2
2015;3.9;4.7;8.1;11.2;16.5;20.2;24.1;22;17.7;12.7;7.9;3.7;12.7
2016;2.7;6.1;7.9;12.1;14.8;19.6;22.5;20.6;19.1;12.2;8.4;2.9;12.4
2017;0.1;5.6;9.1;11.8;16.2;21.1;21.5;22.1;15.3;12.3;7.2;2.9;12.1
2018;5;2.5;5.3;13.6;17.6;20.9;22.5;22.7;18.2;13.8;10.1;2.8;12.9
2019;1.6;3.9;6.8;11.1;13.3;22;22.1;22.5;17.7;14.2;9.2;5;12.5
2020;3;5.8;7.1;11;15.3;18.5;21.2;21.9;17.5;11.7;7.2;4.9;12.1
2021;2;5.4;5.9;9.2;13.4;21.1;21.6;20.1;17.3;11.3;8.3;3.2;11.6
2022;2.2;4.5;5.7;9.7;17;22.1;23.8;22.4;17.1;15.4;9.4;5.9;12.9
